,Sample,Scan,Scan date,Time passed,Days passed,Size,MeanBrightness,MeanBrightness_masked,Threshold_Otsu,ROI,Grayvalue,RingartefactCorrection,BeamHardeningCorrection,DefectPixelMasking,Rotation_Rec
0,Foetus02,rec,2021-10-25 18:46:14,0 days 00:00:00,0 days,"(1941, 2196, 2196)",8.061105244510198,32.53913875706703,12,"(2663, 464, 463, 2662)",0.04,1,,,123.17
1,Foetus02_Lugol_05pct_007d,rec,2021-11-08 16:12:19,13 days 21:26:05,14 days,"(1941, 2196, 2196)",8.781496719246928,33.516792806739055,16,"(2668, 472, 588, 2784)",0.04,1,,,26.0
2,Foetus02_Lugol_10pct_014d,rec,2021-11-15 17:32:52,20 days 22:46:38,21 days,"(1941, 2196, 2196)",8.790190499765886,36.673366919887876,17,"(2678, 479, 503, 2702)",0.04,1,,,369.9
3,Foetus02_Lugol_10pct_025d,rec,2021-11-26 12:25:21,31 days 17:39:07,32 days,"(1941, 2196, 2196)",10.205982411485778,41.950899679640045,19,"(2711, 512, 560, 2759)",0.04,1,,,15.0
4,Foetus02_Lugol_15pct_044d,rec,2021-12-15 17:27:57,50 days 22:41:43,51 days,"(1941, 2196, 2196)",11.901515424320818,49.20144067572426,21,"(2761, 562, 440, 2639)",0.04,1,,,106.8
5,Foetus02_Lugol_15pct_053d,rec,2021-12-24 11:00:51,59 days 16:14:37,60 days,"(1941, 2196, 2196)",11.427902738667745,48.07351737180475,20,"(2656, 457, 327, 2526)",0.04,1,,,204.39
6,Foetus02_Lugol_15pct_060d,rec,2021-12-31 10:56:23,66 days 16:10:09,67 days,"(1941, 2196, 2196)",12.63048249128314,53.54839240373412,22,"(2641, 442, 480, 2679)",0.04,1,,,200.45
7,Foetus02_Lugol_15pct_070d,rec,2022-01-10 11:27:14,76 days 16:41:00,77 days,"(1941, 2196, 2196)",13.626435648795926,57.92518916958455,24,"(2551, 352, 372, 2571)",0.04,1,,,41.69
8,Foetus02_Lugol_15pct_077d,rec,2022-01-17 11:23:53,83 days 16:37:39,84 days,"(1941, 2196, 2196)",14.173276508818876,60.69074155660061,25,"(2738, 539, 425, 2624)",0.04,1,,,82.55
9,Foetus02_Lugol_15pct_088d,rec,2022-01-28 10:50:39,94 days 16:04:25,95 days,"(1941, 2196, 2196)",14.304029966250296,60.22192472255187,25,"(2611, 412, 352, 2551)",0.04,1,,,250.0
10,Foetus02_Lugol_15pct_098d,rec,2022-02-07 16:09:05,104 days 21:22:51,105 days,"(1941, 2196, 2196)",14.062345926461429,61.929021511933755,26,"(2536, 337, 557, 2756)",0.04,1,,,166.78
11,Foetus02_Lugol_15pct_108d,rec,2022-02-17 16:36:39,114 days 21:50:25,115 days,"(1941, 2196, 2196)",14.531391554347774,60.76164405317584,25,"(2654, 455, 434, 2633)",0.04,1,,,198.0
12,Foetus02_Lugol_15pct_108d,rec_11um,2022-02-17 20:17:46,115 days 01:31:32,115 days,"(3802, 3072, 3072)",13.056596497454267,41.3898977813306,17,False,0.055,1,,,198.0
13,Foetus02_Lugol_15pct_141d,rec,2022-03-22 12:55:00,147 days 18:08:46,148 days,"(1941, 2196, 2196)",14.2830726622293,65.16961003133451,28,"(2617, 421, 528, 2724)",0.04,1,,,25.62
14,Foetus02_Lugol_15pct_152d,rec,2022-04-01 12:33:54,157 days 17:47:40,158 days,"(1941, 2196, 2196)",14.311656073948502,64.03854975743018,27,"(2616, 420, 393, 2589)",0.04,1,,,247.5
15,Foetus02_Lugol_15pct_152d,rec_11um,2022-04-01 16:15:22,157 days 21:29:08,158 days,"(4176, 3072, 3072)",12.137756995035263,43.12032505915876,18,False,0.055,1,,,255.47
